短信类型,状态,已读,协议,主题,联系人,时间,呼叫中心,短信内容
收件箱,0,1,0,,`8080,2019-10-29 20:57:15,,"Get 1 free voucher to enjoy discounts when you shop or dine in your favorite shops using GCash! To claim%^ visit https://gcsh.app/p/L6BQ7E and follow the instructions on the page. T&Cs apply. You can claim it w/in the validity of your promo. Text GOSHOP INFO to 8080 for more info. Data charges may apply. Per DTI-FTEB Permit No.16483%^ series of 2019."
收件箱,0,1,0,,`8080,2019-10-29 20:57:18,,"As a special treat%^ you now have free 1GB/day access to Facebook%^ Instagram%^ Videos%^ and Games with your promo%^ valid until 2019-11-05! Your allocation will refresh daily once you browse Facebook%^ Instagram%^ Video or any Gaming app. For more info%^ text FBIGWNP INFO to 8080."
已发送,0,1,0,,`8080,2019-11-04 21:31:35,,"databal"
收件箱,0,1,0,,`8080,2019-11-04 21:31:37,,"Hi! As of 2019-11-04%^ 21:31:36%^ the remaining MB on your active promos are:*(-%@DATA: 1.61GB (until 2019-11-05%^ 20:57:09)#&GoSURF Free WiFi: 1GB (until 2019-11-05%^ 20:57:10)#&FB%^ IG%^ Videos and Games: 996.37MB (until 2019-11-05%^ 20:57:10)"
收件箱,0,1,0,,`8080,2019-11-05 17:58:13,,"Your free 1GB/day access to Facebook%^ Instagram%^ Videos%^ and Games will expire on 2019-11-05%^ 20:57:10."
收件箱,0,1,0,,`8080,2019-11-05 20:58:14,,"Your free 1GB/day access to Facebook%^ Instagram%^ Videos%^ and Games has expired. Register to GOSAKTO90 to enjoy more consumable mobile internet and free 1GB/day access to Facebook%^ Instagram%^ Videos and Games! Text GOSAKTO90 to 8080."
收件箱,0,1,0,,`8080,2019-11-05 20:58:34,,"Your GoSAKTO promo has expired. Enjoy a week of surfing%^ texts and calls with the new GOSAKTO140! It has unli allnet texts%^ unli Globe/TM calls and 2GB for surfing%^ valid for 7 days%^ all for just P140. To register%^ text GOSAKTO140 to 8080 or dial *143# and choose GoSAKTO. You may also try GOSAKTO120%^ which has unli allnet texts%^ unli Globe/TM calls and 1GB for surfing%^ valid for 7 days."
收件箱,0,1,0,,`8080,2019-11-05 20:59:05,,"Your Unlimited Texts to All Networks from your GoSAKTO subscription has already expired. To register again%^ dial *143# or log-on to www.globe.com.ph/gosakto"
已发送,0,1,0,,`8080,2019-11-06 03:01:09,,"databal"
收件箱,0,1,0,,`8080,2019-11-06 03:01:15,,"You currently do not have any active mobile internet promos. *(-%@*(-%@To enjoy more apps and worry-free surfing%^ register to GoSURF50! Just dial *143# and choose GoSURF50 to get 1GB for surfing and 300MB for 1 freebie%^ valid for 3 days."
已发送,0,1,0,,`8080,2019-11-06 03:02:15,,"GOTSCOMBODD90"
收件箱,0,1,0,,`8080,2019-11-06 03:03:29,,"You're now registered to GoSAKTO90. Make it matter with 2GB%^ unli allnet texts%^ and 1GB GoWiFi access valid for 7 days. To check your data and freebie balance%^ text DATA BAL. Send to 8080. To use your GoWiFi access%^ simply connect to @GoSURF_FreeWifi in over 2%^000 GoWiFi hotspots nationwide."
收件箱,0,1,0,,`8080,2019-11-06 03:03:32,,"Get 1 free voucher to enjoy discounts when you shop or dine in your favorite shops using GCash! To claim%^ visit https://gcsh.app/p/WDPNE4 and follow the instructions on the page. T&Cs apply. You can claim it w/in the validity of your promo. Text GOSHOP INFO to 8080 for more info. Data charges may apply. Per DTI-FTEB Permit No.16483%^ series of 2019."
收件箱,0,1,0,,`8080,2019-11-06 03:03:36,,"As a special treat%^ you now have free 1GB/day access to Facebook%^ Instagram%^ Videos%^ and Games with your promo%^ valid until 2019-11-13! Your allocation will refresh daily once you browse Facebook%^ Instagram%^ Video or any Gaming app. For more info%^ text FBIGWNP INFO to 8080."
已发送,0,1,0,,`8080,2019-11-06 03:03:59,,"databal"
收件箱,0,1,0,,`8080,2019-11-06 03:04:02,,"Hi! As of 2019-11-06%^ 03:04:01%^ the remaining MB on your active promos are:*(-%@DATA: 2.00GB (until 2019-11-13%^ 03:02:23)#&GoSURF Free WiFi: 1GB (until 2019-11-13%^ 03:02:24)#&FB%^ IG%^ Videos and Games: 1GB (until 2019-11-13%^ 03:02:24)"
收件箱,0,1,0,,`8080,2019-11-06 12:00:59,,"You're now registered to GoSURF299. Make it matter with 2GB for surfing and app freebies%^ valid till 2019-12-06%^ 12:00:54."
收件箱,0,1,0,,`8080,2019-11-06 12:01:09,,"You can now enjoy free 1GB WiFi access! Simply connect to @GoSURF_FreeWifi in over 2%^000 GoWiFi hotspots nationwide. Go to https://www.globe.com.ph/gowifi.html#hotspots to check out our list of hotspots.*(-%@*(-%@Claim your 1GB app freebie by texting the corresponding keyword to 8080.*(-%@*(-%@For Facebook%^ text GS299 FB.*(-%@For Games (ML%^ AOV%^ PUBG%^ and more)%^ text GS299 GAMES.*(-%@For YouTube & Dailymotion%^ text GS299 VIDEO.*(-%@For Instagram%^ text GS299 IG.*(-%@For Spotify%^ text GS299 SPOTIFY.*(-%@For Twitter%^ text GS299 TWITTER.*(-%@For Viber%^ text GS299 VIBER.*(-%@For Snapchat%^ text GS299 SNAPCHAT.*(-%@For TikTok%^ text GS299 TIKTOK.*(-%@Send to 8080."
收件箱,0,1,0,,`8080,2019-11-06 12:01:18,,"Get 1 free voucher to enjoy discounts when you shop or dine in your favorite shops using GCash! To claim%^ visit https://gcsh.app/p/ZBQNKN and follow the instructions on the page. T&Cs apply. You can claim it w/in the validity of your promo. Text GOSHOP INFO to 8080 for more info. Data charges may apply. Per DTI-FTEB Permit No.16483%^ series of 2019."
收件箱,0,1,0,,`8080,2019-11-06 12:01:24,,"As a special treat%^ you now have free 1GB/day access to Facebook and Instagram with your promo%^ valid until 2019-12-06! Your allocation will refresh daily when you browse Facebook or Instagram. For more info%^ text FBIG INFO to 8080."
已发送,0,1,0,,`8080,2019-11-06 19:48:36,,"databal"
收件箱,0,1,0,,`8080,2019-11-06 19:48:39,,"Hi! As of 2019-11-06%^ 19:48:39%^ the remaining MB on your active promos are:*(-%@DATA: 4.00GB (until 2019-12-06%^ 12:00:54)#&GoSURF Free WiFi: 2GB (until 2019-12-06%^ 12:00:55)#&FB&IG: 1023.93MB (until 2019-12-06%^ 12:00:55)#&FB%^ IG%^ Videos and Games: 1023.43MB (until 2019-11-13%^ 03:02:24)"
已发送,0,1,0,,`8080,2019-11-12 02:51:45,,"databal"
收件箱,0,1,0,,`8080,2019-11-12 02:51:47,,"Hi! As of 2019-11-12%^ 02:51:46%^ the remaining MB on your active promos are:*(-%@DATA: 3.01GB (until 2019-12-06%^ 12:00:54)#&GoSURF Free WiFi: 2GB (until 2019-12-06%^ 12:00:55)#&FB&IG: 1023.89MB (until 2019-12-06%^ 12:00:55)#&FB%^ IG%^ Videos and Games: 1GB (until 2019-11-13%^ 03:02:24)"
收件箱,0,1,0,,`8080,2019-11-13 00:04:34,,"Your free 1GB/day access to Facebook%^ Instagram%^ Videos%^ and Games will expire on 2019-11-13%^ 03:02:24."
收件箱,0,1,0,,`8080,2019-11-13 03:03:34,,"Your Unlimited Texts to All Networks from your GoSAKTO subscription has already expired. To register again%^ dial *143# or log-on to www.globe.com.ph/gosakto"
收件箱,0,1,0,,`8080,2019-11-13 03:03:46,,"Your GoSAKTO promo has expired. Enjoy a week of surfing%^ texts and calls with the new GOSAKTO140! It has unli allnet texts%^ unli Globe/TM calls and 2GB for surfing%^ valid for 7 days%^ all for just P140. To register%^ text GOSAKTO140 to 8080 or dial *143# and choose GoSAKTO. You may also try GOSAKTO120%^ which has unli allnet texts%^ unli Globe/TM calls and 1GB for surfing%^ valid for 7 days."
收件箱,0,1,0,,`8080,2019-11-13 03:03:52,,"Your free 1GB/day access to Facebook%^ Instagram%^ Videos%^ and Games has expired. Register to GOSAKTO90 to enjoy more consumable mobile internet and free 1GB/day access to Facebook%^ Instagram%^ Videos and Games! Text GOSAKTO90 to 8080."
已发送,0,1,0,,`8080,2019-11-13 22:01:30,,"databal"
收件箱,0,1,0,,`8080,2019-11-13 22:01:33,,"Hi! As of 2019-11-13%^ 22:01:31%^ the remaining MB on your active promos are:*(-%@DATA: 375.45MB (until 2019-12-06%^ 12:00:54)#&GoSURF Free WiFi: 2GB (until 2019-12-06%^ 12:00:55)#&FB&IG: 1004.57MB (until 2019-12-06%^ 12:00:55)"
已发送,0,1,0,,`8080,2019-11-14 03:41:38,,"gs299"
收件箱,0,1,0,,`8080,2019-11-14 03:41:42,,"Sorry%^ your load balance is not enough to register to GoSURF. Load now to enjoy GoSURF and enjoy more of what you want with more data for surfing and apps!  To register to GoSURF%^ dial *143# for free & select Surfing."
收件箱,0,1,0,,`8080,2019-11-14 15:04:34,,"You're now registered to GoSURF599. Make it matter with 5GB for surfing and app freebies%^ valid till 2019-12-14%^ 15:04:33."
收件箱,0,1,0,,`8080,2019-11-14 15:04:44,,"You can now enjoy free 1GB WiFi access! Simply connect to @GoSURF_FreeWifi in over 2%^000 GoWiFi hotspots nationwide. Go to https://www.globe.com.ph/gowifi.html#hotspots to check out our list of hotspots.*(-%@*(-%@Claim your 1GB app freebie by texting the corresponding keyword to 8080.*(-%@*(-%@For Facebook%^ text GS599 FB.*(-%@For Games (ML%^ AOV%^ PUBG%^ and more)%^ text GS599 GAMES.*(-%@For YouTube & Dailymotion%^ text GS599 VIDEO.*(-%@For Instagram%^ text GS599 IG.*(-%@For Spotify%^ text GS599 SPOTIFY.*(-%@For Twitter%^ text GS599 TWITTER.*(-%@For Viber%^ text GS599 VIBER.*(-%@For Snapchat%^ text GS599 SNAPCHAT.*(-%@For TikTok%^ text GS599 TIKTOK.*(-%@Send to 8080."
收件箱,0,1,0,,`8080,2019-11-14 15:04:57,,"Get 1 free voucher to enjoy discounts when you shop or dine in your favorite shops using GCash! To claim%^ visit https://gcsh.app/p/AQ6DRZ and follow the instructions on the page. T&Cs apply. You can claim it w/in the validity of your promo. Text GOSHOP INFO to 8080 for more info. Data charges may apply. Per DTI-FTEB Permit No.16483%^ series of 2019."
已发送,0,1,0,,`8080,2019-11-14 15:52:43,,"databal"
收件箱,0,1,0,,`8080,2019-11-14 15:52:46,,"Hi! As of 2019-11-14%^ 15:52:45%^ the remaining MB on your active promos are:*(-%@DATA: 5.27GB (until 2019-12-14%^ 15:04:33)#&GoSURF Free WiFi: 3GB (until 2019-12-14%^ 15:04:35)#&FB&IG: 1022.13MB (until 2019-12-14%^ 15:04:35)"
已发送,0,1,0,,`8080,2019-11-16 03:35:45,,"databal"
收件箱,0,1,0,,`8080,2019-11-16 03:35:48,,"Hi! As of 2019-11-16%^ 03:35:46%^ the remaining MB on your active promos are:*(-%@DATA: 5.09GB (until 2019-12-14%^ 15:04:33)#&GoSURF Free WiFi: 3GB (until 2019-12-14%^ 15:04:35)#&FB&IG: 1020.04MB (until 2019-12-14%^ 15:04:35)"
收件箱,0,1,0,,`8080,2019-12-02 14:19:19,,"You can now enjoy free 1GB WiFi access! Simply connect to @GoSURF_FreeWifi in over 2%^000 GoWiFi hotspots nationwide. Go to https://www.globe.com.ph/gowifi.html#hotspots to check out our list of hotspots.*(-%@*(-%@Claim your 1GB app freebie by texting the corresponding keyword to 8080.*(-%@*(-%@For Facebook%^ text GS299 FB.*(-%@For Games (ML%^ AOV%^ PUBG%^ and more)%^ text GS299 GAMES.*(-%@For YouTube & Dailymotion%^ text GS299 VIDEO.*(-%@For Instagram%^ text GS299 IG.*(-%@For Spotify%^ text GS299 SPOTIFY.*(-%@For Twitter%^ text GS299 TWITTER.*(-%@For Viber%^ text GS299 VIBER.*(-%@For Snapchat%^ text GS299 SNAPCHAT.*(-%@For TikTok%^ text GS299 TIKTOK.*(-%@Send to 8080."
收件箱,0,1,0,,`8080,2019-12-02 14:19:29,,"You're now registered to GoSURF299. Make it matter with 2GB for surfing and app freebies%^ valid till 2020-01-01%^ 14:19:13."
收件箱,0,1,0,,`8080,2019-12-02 14:19:32,,"Get 1 free voucher to enjoy discounts when you shop or dine in your favorite shops using GCash! To claim%^ visit https://gcsh.app/p/V6A77QJ and follow the instructions on the page. T&Cs apply. You can claim it w/in the validity of your promo. Text GOSHOP INFO to 8080 for more info. Data charges may apply. Per DTI-FTEB Permit No.16483%^ series of 2019."
收件箱,0,1,0,,`8080,2019-12-14 15:07:12,,"Your GoSURF has expired. Want to enjoy 2GB for surfing and unli allnet texts%^ valid for 7 days%^ for only P90?  Text GOSAKTO90 to 8080. Now with free 2GB for videos and games!"
已发送,0,1,0,,`8080,2019-12-15 03:40:20,,"data bal "
收件箱,0,1,0,,`8080,2019-12-15 04:11:08,,"Sorry%^ you have entered an invalid keyword. Please make sure your keyword is correct with no extra characters and spaces. For more info on promos%^ dial *143#%^ FREE from your Globe/TM mobile phone."
已发送,0,1,0,,`8080,2019-12-16 14:48:28,,"databal"
收件箱,0,1,0,,`8080,2019-12-16 14:48:40,,"Hi! As of 2019-12-16%^ 14:48:29%^ the remaining MB on your active promos are:*(-%@DATA: 5.51GB (until 2020-01-01%^ 14:19:13)#&GoSURF Free WiFi: 4GB (until 2020-01-01%^ 14:19:14)#&FB&IG: 1024.00MB (until 2020-01-01%^ 14:19:17)"
已发送,0,1,0,,`8080,2019-12-28 00:00:10,,"databal"
收件箱,0,1,0,,`8080,2019-12-28 00:00:30,,"Hi! As of 2019-12-28%^ 00:00:25%^ the remaining MB on your active promos are:*(-%@DATA: 5.44GB (until 2020-01-01%^ 14:19:13)#&GoSURF Free WiFi: 4GB (until 2020-01-01%^ 14:19:14)#&FB&IG: 1GB (until 2020-01-01%^ 14:19:17)"
收件箱,0,1,0,,`8080,2020-01-01 11:20:21,,"Your free 1GB/day access to Facebook and Instagram will expire on 2020-01-01%^ 14:19:17."
已发送,0,1,0,,`8080,2020-01-01 14:05:06,,"databal"
收件箱,0,1,0,,`8080,2020-01-01 14:05:22,,"Hi! As of 2020-01-01%^ 14:05:17%^ the remaining MB on your active promos are:*(-%@DATA: 5.42GB (until 2020-01-01%^ 14:19:13)#&GoSURF Free WiFi: 4GB (until 2020-01-01%^ 14:19:14)#&FB&IG: 1024.00MB (until 2020-01-01%^ 14:19:17)"
收件箱,0,1,0,,`8080,2020-01-01 14:52:02,,"Your free 1GB/day access to Facebook and Instagram has expired. Register again to GoSURF to enjoy more consumable mobile internet and free 1GB/day access! For a list of GoSURF promos%^ text GS MORE. Send to 8080."
收件箱,0,1,0,,`8080,2020-01-01 14:52:07,,"Your GoSURF has expired. Want to enjoy 2GB for surfing and unli allnet texts%^ valid for 7 days%^ for only P90?  Text GOSAKTO90 to 8080. Now with free 2GB for videos and games!"
已发送,0,1,0,,`8080,2020-01-01 16:56:56,,"databal"
收件箱,0,1,0,,`8080,2020-01-01 17:02:27,,"You currently do not have any active mobile internet promos. *(-%@*(-%@To enjoy more apps and worry-free surfing%^ register to GoSURF50! Just dial *143# and choose GoSURF50 to get 1GB for surfing and 300MB for 1 freebie%^ valid for 3 days."
收件箱,0,1,0,,`8080,2020-01-04 15:55:57,,"Keep on using Globe and we'll help you make the most out of each day! Get FREE 1GB for surfing valid for 7 days when you load a total of P420 by 01/11/20! Share-A-Load not included. REF#: DGR67"
收件箱,0,1,0,,`8080,2020-01-07 11:50:17,,"Hi there! You still have a few days left to grab your FREE 1GB for surfing valid for 7 days! Just load a total of P420 before 01/11/20. If you've already claimed your freebie%^ please disregard this message. REF#: DGR67"
收件箱,0,1,0,,`8080,2020-01-13 01:02:07,,"You're now registered to GoSURF50. Make it matter with 1GB plus app freebies%^ valid till 2020-01-16%^ 01:02:06."
收件箱,0,1,0,,`8080,2020-01-13 01:02:13,,"As a special treat%^ you now have free 1GB/day access to Facebook and Instagram with your promo%^ valid until 2020-01-16! Your allocation will refresh daily when you browse Facebook or Instagram. For more info%^ text FBIG INFO to 8080."
收件箱,0,1,0,,`8080,2020-01-13 01:02:21,,"You can now enjoy free 1GB WiFi access! Simply connect to @GoSURF_FreeWifi in over 2%^000 GoWiFi hotspots nationwide. Go to https://www.globe.com.ph/gowifi.html#hotspots to check out our list of hotspots.*(-%@*(-%@Claim your 1GB app freebie by texting the corresponding keyword to 8080.*(-%@*(-%@For Facebook%^ text GS50 FB.*(-%@For Games (ML%^ AOV%^ PUBG%^ and more)%^ text GS50 GAMES.*(-%@For YouTube & Dailymotion%^ text GS50 VIDEO.*(-%@For Instagram%^ text GS50 IG.*(-%@For Spotify%^ text GS50 SPOTIFY.*(-%@For Twitter%^ text GS50 TWITTER.*(-%@For Viber%^ text GS50 VIBER.*(-%@For Snapchat%^ text GS50 SNAPCHAT.*(-%@For TikTok%^ text GS50 TIKTOK.*(-%@Send to 8080."
已发送,0,1,0,,`8080,2020-01-13 01:02:41,,"dstabal"
收件箱,0,1,0,,`8080,2020-01-13 01:02:44,,"Sorry%^ you have entered an invalid keyword. Please make sure your keyword is correct with no extra characters and spaces. For more info on promos%^ dial *143#%^ FREE from your Globe/TM mobile phone."
已发送,0,1,0,,`8080,2020-01-13 01:02:47,,"databal"
收件箱,0,1,0,,`8080,2020-01-13 01:02:49,,"Hi! As of 2020-01-13%^ 01:02:49%^ the remaining MB on your active promos are:*(-%@DATA: 1GB (until 2020-01-16%^ 01:02:06)#&GoSURF Free WiFi: 1GB (until 2020-01-16%^ 01:02:07)#&FB&IG: 1GB (until 2020-01-16%^ 01:02:07)"
收件箱,0,1,0,,`8080,2020-01-15 22:03:08,,"Your free 1GB/day access to Facebook and Instagram will expire on 2020-01-16%^ 01:02:07."
收件箱,0,1,0,,`8080,2020-01-16 01:03:25,,"Your GoSURF has expired. Want to enjoy 2GB for surfing and unli allnet texts%^ valid for 7 days%^ for only P90?  Text GOSAKTO90 to 8080. Now with free 2GB for videos and games!"
收件箱,0,1,0,,`8080,2019-12-16 02:09:06,,"Your GOCALLIDD 99 will expire on 2019-12-16 at 05:08:04. Regular IDD rates will apply as soon as your promo expires. To register to other international promos%^ dial *143# for free and go to Roaming & Int'l."
收件箱,0,1,0,,`8080,2019-12-16 05:09:53,,"Your subscription to GOCALLIDD 99 has already ended. Regular IDD rates will now apply. To enjoy discounted IDD rates worth P200 for 30 days%^ try GOCALLIDD 199! Only P199. To register%^ text GOCALLIDD 199 to 8080."
已发送,0,1,0,,`8080,2019-12-30 03:01:10,,"gocomboagaf152"
收件箱,0,1,0,,`8080,2019-12-30 03:02:12,,"You have successfully created your own  promo with keyword gocomboagaf152 via Globe Prepaid GoSAKTO. Now enjoy 10.00 minutes to Globe/TM/Cherry%^1000.00 Text to Globe/TM/Cherry%^10MB surfing valid for 30 days. To check your balance or stop your created promo%^ dial *143#. Promo extended until 9/30/19. Per DTI-FTEB Permit No. 18914%^ Series of 2019. This promo is covered by Globe's Fair Use Policy. Tran No. 444258154452311"
已发送,0,1,0,,`8080,2019-12-30 03:04:44,,"gocombogkebfa47"
收件箱,0,1,0,,`8080,2019-12-30 03:05:49,,"You have successfully created your own  promo with keyword GOCOMBOGKEBFA47 via Globe Prepaid GoSAKTO. Now enjoy 500.00 minutes to Globe/TM/Cherry%^20.00 Text to All Networks%^1GB surfing%^FB access up to 10MB valid for 1 day/s. To check your balance or stop your created promo%^ dial *143#. Promo extended until 9/30/19. Per DTI-FTEB Permit No. 18914%^ Series of 2019. This promo is covered by Globe's Fair Use Policy. Tran No. 444258168739472"
收件箱,0,1,0,,`8080,2019-12-31 03:08:05,,"Your Text to All Networks from your GoSAKTO subscription has already expired. To register again%^ dial *143# or log-on to www.globe.com.ph/gosakto"
收件箱,0,1,0,,`8080,2019-12-31 03:08:16,,"Hi! Your access to FB from your GoSAKTO subscription has already expired. To register again%^ just dial *143# or log on at www.globe.com.ph/gosakto"
收件箱,0,1,0,,`8080,2020-01-01 11:01:51,,"Your free 1GB/day access to Facebook and Instagram will expire on 2020-01-01%^ 14:00:49."
收件箱,0,1,0,,`8080,2020-01-01 14:02:37,,"Your free 1GB/day access to Facebook and Instagram has expired. Register again to GoSURF to enjoy more consumable mobile internet and free 1GB/day access! For a list of GoSURF promos%^ text GS MORE. Send to 8080."
已发送,0,1,0,,`8080,2020-01-01 14:03:14,,"DDataba"
收件箱,0,1,0,,`8080,2020-01-01 14:03:17,,"Sorry%^ you have entered an invalid keyword. Please make sure your keyword is correct with no extra characters and spaces. For more info on promos%^ dial *143#%^ FREE from your Globe/TM mobile phone."
已发送,0,1,0,,`8080,2020-01-01 14:03:23,,"Databal"
收件箱,0,1,0,,`8080,2020-01-01 14:03:26,,"Hi! As of 2020-01-01%^ 14:03:26%^ the remaining MB on your active promos are:*(-%@DATA: 1.17GB (until 2020-01-29%^ 03:02:11)#&GoSURF Free WiFi: 6GB (until 2020-01-01%^ 14:00:49)"
收件箱,0,1,0,,`8080,2020-01-01 14:03:29,,"Your GoSURF has expired. Want to enjoy 2GB for surfing and unli allnet texts%^ valid for 7 days%^ for only P90?  Text GOSAKTO90 to 8080. Now with free 2GB for videos and games!"
已发送,0,1,0,,`8080,2020-01-01 14:04:27,,"Databal"
